first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Brandon,Aiyuk,WR,,6,2023-10-15,,SF,CLE,-9.5,36,22.8,6200,1,2.0,15.8,35.9,14.7,2.37
Marquise,Brown,WR,Q,6,2023-10-15,,ARI,LAR,+6.5,47.5,20.5,5300,7,8.7,15.2,17.4,14.5,2.74
Kenneth,Walker III,RB,,6,2023-10-15,,SEA,CIN,+2.5,44.5,21,6700,16,10.7,17.4,30.6,14.5,2.16
Adam,Thielen,WR,,6,2023-10-15,,CAR,MIA,+14.5,47.5,16.5,5900,20,3.2,20.8,34.5,14.4,2.44
Gardner,Minshew II,QB,,6,2023-10-15,,IND,JAX,+3.5,44,20.3,5000,27,0.0,6.1,13.1,14.3,2.86
DeVonta,Smith,WR,,6,2023-10-15,,PHI,NYJ,-6.5,42.5,24.5,7000,3,1.6,13.4,26.1,14.2,2.03
Jordan,Addison,WR,Q,6,2023-10-15,,MIN,CHI,-3,44,23.5,5700,19,0.0,12.4,18.4,14.2,2.49
Chris,Olave,WR,Q,6,2023-10-15,,NO,HOU,-1.5,42.5,22,6600,4,1.4,13.8,22.2,14.2,2.15
Deebo,Samuel,WR,,6,2023-10-15,,SF,CLE,-9.5,36,22.8,6100,1,0.6,14.7,28.1,14.1,2.31
Derek,Carr,QB,,6,2023-10-15,,NO,HOU,-1.5,42.5,22,5300,16,4.2,10.9,18.6,14.1,2.66
Jakobi,Meyers,WR,Q,6,2023-10-15,,LV,NE,-3,41.5,22.3,5800,13,5.3,16.5,29.1,14.0,2.41
DJ,Moore,WR,,6,2023-10-15,,CHI,MIN,+3,44,20.5,6500,31,4.5,23.8,52.0,13.9,2.14
Chris,Godwin,WR,,6,2023-10-15,,TB,DET,+3,42.5,19.8,6900,21,8.2,14.0,22.4,13.9,2.01
Bryce,Young,QB,,6,2023-10-15,,CAR,MIA,+14.5,47.5,16.5,5100,24,8.2,12.6,20.3,13.7,2.69
Nico,Collins,WR,,6,2023-10-15,,HOU,NO,+1.5,42.5,20.5,5600,14,5.4,19.1,38.8,13.7,2.45
DK,Metcalf,WR,Q,6,2023-10-15,,SEA,CIN,+2.5,44.5,21,6800,9,12.4,19.7,38.6,13.5,1.99
Zach,Wilson,QB,,6,2023-10-15,,NYJ,PHI,+6.5,42.5,18,4900,25,6.4,11.4,20.2,13.4,2.73
Tee,Higgins,WR,Q,6,2023-10-15,,CIN,SEA,-2.5,44.5,23.5,6400,32,0.0,11.4,28.9,13.3,2.08
Tyler,Lockett,WR,,6,2023-10-15,,SEA,CIN,+2.5,44.5,21,5700,9,13.2,17.3,25.9,13.2,2.32
Michael,Pittman Jr.,WR,,6,2023-10-15,,IND,JAX,+3.5,44,20.3,6300,23,4.5,13.7,23.7,13.1,2.08
Garrett,Wilson,WR,,6,2023-10-15,,NYJ,PHI,+6.5,42.5,18,6000,29,8.4,12.8,16.3,13.0,2.17
Alexander,Mattison,RB,,6,2023-10-15,,MIN,CHI,-3,44,23.5,5600,30,5.9,12.0,17.5,12.7,2.27
Rachaad,White,RB,,6,2023-10-15,,TB,DET,+3,42.5,19.8,5500,2,6.9,11.8,21.3,12.7,2.31
Michael,Thomas,WR,,6,2023-10-15,,NO,HOU,-1.5,42.5,22,4900,4,9.3,10.9,12.5,12.7,2.59
Terry,McLaurin,WR,,6,2023-10-15,,WAS,ATL,+1,42.5,20.8,5500,6,5.1,11.4,16.6,12.6,2.29
Dameon,Pierce,RB,,6,2023-10-15,,HOU,NO,+1.5,42.5,20.5,5100,5,5.5,9.6,14.9,12.5,2.45
Chuba,Hubbard,RB,,6,2023-10-15,,CAR,MIA,+14.5,47.5,16.5,4300,17,2.4,6.6,10.0,12.5,2.91
Rhamondre,Stevenson,RB,,6,2023-10-15,,NE,LV,+3,41.5,19.3,5400,18,2.4,9.1,15.0,12.2,2.26
Mac,Jones,QB,,6,2023-10-15,,NE,LV,+3,41.5,19.3,5000,18,1.4,12.3,28.1,12.1,2.42
Evan,Engram,TE,,6,2023-10-15,,JAX,IND,-3.5,44,23.8,4500,16,6.8,11.0,13.7,12.1,2.69
Sam,LaPorta,TE,Q,6,2023-10-15,,DET,TB,-3,42.5,22.8,5600,13,8.9,14.4,22.4,12.0,2.14
Drake,London,WR,,6,2023-10-15,,ATL,WAS,-1,42.5,21.8,4800,28,0.0,10.1,18.7,11.8,2.46
D'Onta,Foreman,RB,,6,2023-10-15,,CHI,MIN,+3,44,20.5,4400,8,0.9,8.2,25.5,11.7,2.66
Brian,Robinson Jr.,RB,,6,2023-10-15,,WAS,ATL,+1,42.5,20.8,5700,1,7.0,14.2,28.9,11.7,2.05
Jonathan,Taylor,RB,,6,2023-10-15,,IND,JAX,+3.5,44,20.3,6600,7,2.3,11.2,18.8,11.6,1.76
K.J.,Osborn,WR,,6,2023-10-15,,MIN,CHI,-3,44,23.5,4400,19,2.6,8.3,12.4,11.6,2.64
George,Kittle,TE,,6,2023-10-15,,SF,CLE,-9.5,36,22.8,5000,10,1.9,11.3,27.7,11.4,2.28
Amari,Cooper,WR,,6,2023-10-15,,CLE,SF,+9.5,36,13.3,5800,18,2.6,12.0,27.6,11.1,1.91
Robert,Woods,WR,Q,6,2023-10-15,,HOU,NO,+1.5,42.5,20.5,3800,14,5.6,8.6,13.4,10.6,2.79
Kendrick,Bourne,WR,,6,2023-10-15,,NE,LV,+3,41.5,19.3,4200,11,5.6,10.4,24.4,10.6,2.52
Tyler,Boyd,WR,,6,2023-10-15,,CIN,SEA,-2.5,44.5,23.5,4600,32,3.0,7.9,11.2,10.5,2.28
Josh,Downs,WR,,6,2023-10-15,,IND,JAX,+3.5,44,20.3,4100,23,5.4,9.7,15.7,10.4,2.54
Dallas,Goedert,TE,,6,2023-10-15,,PHI,NYJ,-6.5,42.5,24.5,4800,32,0.0,10.1,28.7,10.3,2.15
